easting,northing,elevation,slope
392104.2409,4049951.646,2239,34.119186
392113.5937,4049951.646,2232,37.244919
392122.9465,4049951.646,2225,36.113945
392132.2993,4049951.646,2219,37.090626
392141.6521,4049951.646,2211,37.507191
392151.0049,4049951.646,2204,36.431206
392160.3578,4049951.646,2197,37.406178
392169.7106,4049951.646,2190,37.507191
392179.0634,4049951.646,2183,34.528126
392188.4162,4049951.646,2177,32.280525
392197.769,4049951.646,2171,31.079836
392207.1218,4049951.646,2166,31.029943
392216.4746,4049951.646,2160,34.798466
392225.8274,4049951.646,2153,36.323132
392235.1802,4049951.646,2146,34.324936
392244.533,4049951.646,2140,31.079836
392253.8858,4049951.646,2135,24.437473
392263.2386,4049951.646,2132,23.316397
392272.5915,4049951.646,2127,25.502901
392281.9443,4049951.646,2123,26.23757
392291.2971,4049951.646,2118,26.972586
392300.6499,4049951.646,2114,27.288973
392310.0027,4049951.646,2109,32.047276
392319.3555,4049951.646,2103,40.242268
392328.7083,4049951.646,2094,47.717751
392338.0611,4049951.646,2083,49.394905
392347.4139,4049951.646,2073,47.479782
392356.7667,4049951.646,2063,42.916756
392366.1195,4049951.646,2056,32.827198
392085.5353,4049942.293,2251,26.892527
392094.8881,4049942.293,2246,29.167526
392104.2409,4049942.293,2241,34.887592
392113.5937,4049942.293,2233,38.972679
392122.9465,4049942.293,2226,36.882553
392132.2993,4049942.293,2219,36.830109
392141.6521,4049942.293,2212,37.338478
392151.0049,4049942.293,2205,36.882553
392160.3578,4049942.293,2198,36.882553
392169.7106,4049942.293,2191,36.882553
392179.0634,4049942.293,2184,34.877712
392188.4162,4049942.293,2178,33.269272
392197.769,4049942.293,2172,32.140972
392207.1218,4049942.293,2166,32.140972
392216.4746,4049942.293,2160,34.818314
392225.8274,4049942.293,2153,35.316406
392235.1802,4049942.293,2147,33.752766
392244.533,4049942.293,2141,31.582727
392253.8858,4049942.293,2135,26.956604
392263.2386,4049942.293,2131,26.001991
392272.5915,4049942.293,2126,26.972586
392281.9443,4049942.293,2122,26.535547
392291.2971,4049942.293,2117,27.706659
392300.6499,4049942.293,2112,29.167526
392310.0027,4049942.293,2107,34.728809
392319.3555,4049942.293,2100,43.94281
392328.7083,4049942.293,2090,49.601391
392338.0611,4049942.293,2079,49.601391
392347.4139,4049942.293,2069,45.881962
392356.7667,4049942.293,2061,37.896748
392366.1195,4049942.293,2055,23.195787
392375.4723,4049942.293,2053,11.506429
392384.8252,4049942.293,2054,22.196188
392076.1825,4049932.94,2256,26.120205
392085.5353,4049932.94,2252,26.972586
392094.8881,4049932.94,2247,29.069366
392104.2409,4049932.94,2242,34.976231
392113.5937,4049932.94,2234,39.777355
392122.9465,4049932.94,2226,38.788082
392132.2993,4049932.94,2219,37.30452
392141.6521,4049932.94,2212,36.323132
392151.0049,4049932.94,2205,36.830109
392160.3578,4049932.94,2198,37.30452
392169.7106,4049932.94,2191,37.30452
392179.0634,4049932.94,2184,35.354836
392188.4162,4049932.94,2178,33.837246
392197.769,4049932.94,2171,32.771091
392207.1218,4049932.94,2166,32.771091
392216.4746,4049932.94,2159,34.877712
392225.8274,4049932.94,2153,34.877712
392235.1802,4049932.94,2146,34.406517
392244.533,4049932.94,2140,31.798761
392253.8858,4049932.94,2135,28.394751
392263.2386,4049932.94,2130,27.904049
392272.5915,4049932.94,2125,28.143787
392281.9443,4049932.94,2120,27.288973
392291.2971,4049932.94,2116,28.039331
392300.6499,4049932.94,2111,30.9799
392310.0027,4049932.94,2105,37.574177
392319.3555,4049932.94,2097,46.354843
392328.7083,4049932.94,2086,49.605045
392338.0611,4049932.94,2076,48.144855
392347.4139,4049932.94,2066,42.946239
392356.7667,4049932.94,2059,30.419186
392366.1195,4049932.94,2055,12.864616
392375.4723,4049932.94,2055,15.14268
392384.8252,4049932.94,2057,25.362482
392394.178,4049932.94,2061,30.367256
392066.8297,4049923.587,2262,28.555126
392076.1825,4049923.587,2258,28.084179
392085.5353,4049923.587,2253,29.167526
392094.8881,4049923.587,2248,31.327061
392104.2409,4049923.587,2242,34.877712
392113.5937,4049923.587,2235,39.283073
392122.9465,4049923.587,2227,40.597469
392132.2993,4049923.587,2219,38.260952
392141.6521,4049923.587,2212,35.316406
392151.0049,4049923.587,2206,36.830109
392160.3578,4049923.587,2198,38.726063
392169.7106,4049923.587,2191,38.292923
392179.0634,4049923.587,2183,35.892719
392188.4162,4049923.587,2177,33.837246
392197.769,4049923.587,2171,32.771091
392207.1218,4049923.587,2165,32.771091
392216.4746,4049923.587,2159,34.877712
392225.8274,4049923.587,2152,34.877712
392235.1802,4049923.587,2146,35.431416
392244.533,4049923.587,2139,32.418903
392253.8858,4049923.587,2134,29.292879
392263.2386,4049923.587,2129,29.568087
392272.5915,4049923.587,2124,29.167526
392281.9443,4049923.587,2119,28.785656
392291.2971,4049923.587,2114,29.932499
392300.6499,4049923.587,2109,33.837246
392310.0027,4049923.587,2103,40.816212
392319.3555,4049923.587,2094,47.696671
392328.7083,4049923.587,2083,48.790371
392338.0611,4049923.587,2073,45.50671
392347.4139,4049923.587,2064,38.577778
392356.7667,4049923.587,2058,21.892191
392366.1195,4049923.587,2057,10.703167
392375.4723,4049923.587,2058,21.081884
392384.8252,4049923.587,2061,28.742676
392394.178,4049923.587,2065,31.166786
392057.4769,4049914.234,2270,28.857042
392066.8297,4049914.234,2265,29.527098
392076.1825,4049914.234,2260,28.857042
392085.5353,4049914.234,2255,30.210482
392094.8881,4049914.234,2249,33.837246
392104.2409,4049914.234,2242,34.818314
392113.5937,4049914.234,2236,38.741592
392122.9465,4049914.234,2227,41.846123
392132.2993,4049914.234,2219,38.726063
392141.6521,4049914.234,2212,34.798466
392151.0049,4049914.234,2206,36.323132
392160.3578,4049914.234,2198,40.100704
392169.7106,4049914.234,2190,39.66074
392179.0634,4049914.234,2183,35.892719
392188.4162,4049914.234,2177,34.406517
392197.769,4049914.234,2170,32.883114
392207.1218,4049914.234,2165,32.280525
392216.4746,4049914.234,2158,34.877712
392225.8274,4049914.234,2152,35.431416
392235.1802,4049914.234,2145,36.538555
392244.533,4049914.234,2138,33.038666
392253.8858,4049914.234,2133,30.419186
392263.2386,4049914.234,2127,30.676414
392272.5915,4049914.234,2122,29.892403
392281.9443,4049914.234,2117,30.992424
392291.2971,4049914.234,2112,32.860771
392300.6499,4049914.234,2106,36.547466
392310.0027,4049914.234,2099,43.034351
392319.3555,4049914.234,2090,47.717751
392328.7083,4049914.234,2080,46.354843
392338.0611,4049914.234,2071,41.031872
392347.4139,4049914.234,2064,32.680923
392356.7667,4049914.234,2059,16.352808
392366.1195,4049914.234,2059,16.980247
392375.4723,4049914.234,2061,27.178928
392384.8252,4049914.234,2065,32.000229
392394.178,4049914.234,2069,32.771091
392403.5308,4049914.234,2073,32.059017
392048.1241,4049904.882,2276,31.67909
392057.4769,4049904.882,2271,28.857042
392066.8297,4049904.882,2266,30.210482
392076.1825,4049904.882,2260,30.561157
392085.5353,4049904.882,2255,31.029943
392094.8881,4049904.882,2249,34.798466
392104.2409,4049904.882,2242,34.798466
392113.5937,4049904.882,2236,38.726063
392122.9465,4049904.882,2227,42.265125
392132.2993,4049904.882,2219,38.260952
392141.6521,4049904.882,2212,34.818314
392151.0049,4049904.882,2206,36.323132
392160.3578,4049904.882,2199,40.542294
392169.7106,4049904.882,2190,40.984955
392179.0634,4049904.882,2182,36.882553
392188.4162,4049904.882,2176,34.976231
392197.769,4049904.882,2169,32.883114
392207.1218,4049904.882,2164,32.418903
392216.4746,4049904.882,2158,35.113159
392225.8274,4049904.882,2151,36.113945
392235.1802,4049904.882,2144,37.090626
392244.533,4049904.882,2137,33.657204
392253.8858,4049904.882,2132,31.762951
392263.2386,4049904.882,2126,31.363829
392272.5915,4049904.882,2121,30.9799
392281.9443,4049904.882,2115,33.060768
392291.2971,4049904.882,2109,34.798466
392300.6499,4049904.882,2103,38.300907
392310.0027,4049904.882,2096,43.992275
392319.3555,4049904.882,2086,46.350193
392328.7083,4049904.882,2077,42.147488
392338.0611,4049904.882,2070,35.113159
392347.4139,4049904.882,2064,24.770031
392356.7667,4049904.882,2061,16.480652
392366.1195,4049904.882,2062,25.291813
392375.4723,4049904.882,2066,32.059017
392384.8252,4049904.882,2070,34.324936
392394.178,4049904.882,2074,33.657204
392403.5308,4049904.882,2078,30.574003
392412.8836,4049904.882,2081,24.437473
392029.4184,4049895.529,2294,47.780792
392038.7712,4049895.529,2284,40.68671
392048.1241,4049895.529,2278,33.038666
392057.4769,4049895.529,2272,30.052208
392066.8297,4049895.529,2267,30.561157
392076.1825,4049895.529,2261,32.187622
392085.5353,4049895.529,2255,32.140972
392094.8881,4049895.529,2249,34.798466
392104.2409,4049895.529,2242,35.316406
392113.5937,4049895.529,2236,39.222992
392122.9465,4049895.529,2227,41.871468
392132.2993,4049895.529,2219,37.30452
392141.6521,4049895.529,2213,34.798466
392151.0049,4049895.529,2206,37.30452
392160.3578,4049895.529,2198,41.01178
392169.7106,4049895.529,2190,41.467243
392179.0634,4049895.529,2182,38.356674
392188.4162,4049895.529,2175,34.976231
392197.769,4049895.529,2169,33.48592
392207.1218,4049895.529,2163,34.273743
392216.4746,4049895.529,2156,35.498127
392225.8274,4049895.529,2150,35.883438
392235.1802,4049895.529,2143,36.680576
392244.533,4049895.529,2136,35.287529
392253.8858,4049895.529,2130,33.093868
392263.2386,4049895.529,2124,32.372906
392272.5915,4049895.529,2119,33.432026
392281.9443,4049895.529,2113,34.798466
392291.2971,4049895.529,2107,36.39526
392300.6499,4049895.529,2100,40.576801
392310.0027,4049895.529,2092,44.504391
392319.3555,4049895.529,2083,43.94281
392328.7083,4049895.529,2075,37.30452
392338.0611,4049895.529,2069,27.599382
392347.4139,4049895.529,2065,15.96174
392356.7667,4049895.529,2065,21.73793
392366.1195,4049895.529,2067,29.622583
392375.4723,4049895.529,2070,32.827198
392384.8252,4049895.529,2075,33.496677
392394.178,4049895.529,2079,31.277912
392403.5308,4049895.529,2082,27.429382
392412.8836,4049895.529,2084,23.013134
392422.2364,4049895.529,2085,19.954687
392020.0656,4049886.176,2307,51.70623
392029.4184,4049886.176,2295,49.044666
392038.7712,4049886.176,2285,41.871468
392048.1241,4049886.176,2278,34.283993
392057.4769,4049886.176,2272,31.029943
392066.8297,4049886.176,2267,30.48387
392076.1825,4049886.176,2261,32.140972
392085.5353,4049886.176,2255,33.225597
392094.8881,4049886.176,2249,35.354836
392104.2409,4049886.176,2242,36.969578
392113.5937,4049886.176,2235,40.382542
392122.9465,4049886.176,2226,40.761822
392132.2993,4049886.176,2219,36.431206
392141.6521,4049886.176,2212,34.877712
392151.0049,4049886.176,2206,37.338478
392160.3578,4049886.176,2198,41.871468
392169.7106,4049886.176,2189,42.375725
392179.0634,4049886.176,2181,38.972679
392188.4162,4049886.176,2174,35.696629
392197.769,4049886.176,2168,34.887592
392207.1218,4049886.176,2161,35.498127
392216.4746,4049886.176,2155,35.498127
392225.8274,4049886.176,2148,34.887592
392235.1802,4049886.176,2142,35.696629
392244.533,4049886.176,2135,37.244919
392253.8858,4049886.176,2128,34.758698
392263.2386,4049886.176,2123,33.742176
392272.5915,4049886.176,2116,35.083916
392281.9443,4049886.176,2110,35.46957
392291.2971,4049886.176,2104,38.300907
392300.6499,4049886.176,2097,42.491592
392310.0027,4049886.176,2088,43.992275
392319.3555,4049886.176,2080,40.500778
392328.7083,4049886.176,2073,31.363829
392338.0611,4049886.176,2069,17.841867
392347.4139,4049886.176,2067,13.52658
392356.7667,4049886.176,2069,24.192944
392366.1195,4049886.176,2072,28.262363
392375.4723,4049886.176,2075,31.216267
392384.8252,4049886.176,2079,31.953045
392394.178,4049886.176,2083,29.608976
392403.5308,4049886.176,2086,26.763613
392412.8836,4049886.176,2088,23.731453
392422.2364,4049886.176,2089,21.197014
392001.36,4049876.823,2328,32.418903
392010.7128,4049876.823,2320,48.696682
392020.0656,4049876.823,2307,52.681549
392029.4184,4049876.823,2295,49.249161
392038.7712,4049876.823,2285,42.097675
392048.1241,4049876.823,2278,34.528126
392057.4769,4049876.823,2272,31.179171
392066.8297,4049876.823,2266,30.561157
392076.1825,4049876.823,2261,31.67909
392085.5353,4049876.823,2255,34.406517
392094.8881,4049876.823,2248,37.090626
392104.2409,4049876.823,2241,38.733829
392113.5937,4049876.823,2233,40.521549
392122.9465,4049876.823,2225,39.491554
392132.2993,4049876.823,2218,35.545612
392141.6521,4049876.823,2212,34.976231
392151.0049,4049876.823,2205,37.507191
392160.3578,4049876.823,2198,42.922657
392169.7106,4049876.823,2188,43.83783
392179.0634,4049876.823,2180,39.275578
392188.4162,4049876.823,2173,36.476021
392197.769,4049876.823,2166,35.498127
392207.1218,4049876.823,2160,36.104786
392216.4746,4049876.823,2153,35.743534
392225.8274,4049876.823,2147,34.119186
392235.1802,4049876.823,2141,36.104786
392244.533,4049876.823,2134,39.132431
392253.8858,4049876.823,2126,36.645187
392263.2386,4049876.823,2120,34.416683
392272.5915,4049876.823,2114,35.383595
392281.9443,4049876.823,2108,36.671738
392291.2971,4049876.823,2101,39.993671
392300.6499,4049876.823,2093,42.714672
392310.0027,4049876.823,2085,42.412411
392319.3555,4049876.823,2077,35.696629
392328.7083,4049876.823,2072,22.023203
392338.0611,4049876.823,2069,10.910092
392347.4139,4049876.823,2070,20.636284
392356.7667,4049876.823,2073,26.584686
392366.1195,4049876.823,2075,28.128906
392375.4723,4049876.823,2079,31.179171
392384.8252,4049876.823,2083,32.737339
392394.178,4049876.823,2087,30.574003
392403.5308,4049876.823,2090,26.972586
392412.8836,4049876.823,2092,24.135979
392422.2364,4049876.823,2092,23.15538
391982.6544,4049867.47,2330,11.360583
391992.0072,4049867.47,2330,26.320887
392001.36,4049867.47,2325,44.761612
392010.7128,4049867.47,2315,53.331898
392020.0656,4049867.47,2303,53.488476
392029.4184,4049867.47,2292,48.673157
392038.7712,4049867.47,2283,41.622509
392048.1241,4049867.47,2276,33.742176
392057.4769,4049867.47,2271,30.275986
392066.8297,4049867.47,2266,31.092285
392076.1825,4049867.47,2260,32.827198
392085.5353,4049867.47,2254,35.498127
392094.8881,4049867.47,2247,38.919064
392104.2409,4049867.47,2239,40.015137
392113.5937,4049867.47,2232,40.556107
392122.9465,4049867.47,2224,39.132431
392132.2993,4049867.47,2217,35.122894
392141.6521,4049867.47,2211,35.498127
392151.0049,4049867.47,2204,38.919064
392160.3578,4049867.47,2196,43.653683
392169.7106,4049867.47,2186,44.43005
392179.0634,4049867.47,2178,39.469349
392188.4162,4049867.47,2171,36.104786
392197.769,4049867.47,2165,36.104786
392207.1218,4049867.47,2158,37.30452
392216.4746,4049867.47,2151,36.022137
392225.8274,4049867.47,2145,34.728809
392235.1802,4049867.47,2139,38.47551
392244.533,4049867.47,2131,40.500778
392253.8858,4049867.47,2124,37.30452
392263.2386,4049867.47,2118,34.798466
392272.5915,4049867.47,2112,36.39526
392281.9443,4049867.47,2105,38.546383
392291.2971,4049867.47,2098,40.816212
392300.6499,4049867.47,2090,41.871468
392310.0027,4049867.47,2082,39.638775
392319.3555,4049867.47,2075,28.857042
392328.7083,4049867.47,2072,10.545053
392338.0611,4049867.47,2072,16.480652
392347.4139,4049867.47,2074,24.861204
392356.7667,4049867.47,2077,27.288973
392366.1195,4049867.47,2080,30.574003
392375.4723,4049867.47,2083,34.324936
392384.8252,4049867.47,2088,35.77161
392394.178,4049867.47,2092,32.692223
392403.5308,4049867.47,2094,28.857042
392412.8836,4049867.47,2096,26.535547
392422.2364,4049867.47,2097,25.694017
391973.3016,4049858.117,2327,21.892191
391982.6544,4049858.117,2327,32.72607
391992.0072,4049858.117,2324,45.766064
392001.36,4049858.117,2316,53.732704
392010.7128,4049858.117,2306,55.542679
392020.0656,4049858.117,2295,52.305954
392029.4184,4049858.117,2287,46.576275
392038.7712,4049858.117,2279,39.215466
392048.1241,4049858.117,2274,31.388294
392057.4769,4049858.117,2269,29.622583
392066.8297,4049858.117,2264,32.737339
392076.1825,4049858.117,2258,35.083916
392085.5353,4049858.117,2252,36.671738
392094.8881,4049858.117,2245,40.206997
392104.2409,4049858.117,2237,42.128826
392113.5937,4049858.117,2229,42.172329
392122.9465,4049858.117,2221,39.755558
392132.2993,4049858.117,2215,36.547466
392141.6521,4049858.117,2209,36.786274
392151.0049,4049858.117,2202,39.929092
392160.3578,4049858.117,2194,43.726505
392169.7106,4049858.117,2185,43.821186
392179.0634,4049858.117,2176,39.469349
392188.4162,4049858.117,2170,36.969578
392197.769,4049858.117,2163,37.872166
392207.1218,4049858.117,2156,37.872166
392216.4746,4049858.117,2149,36.332169
392225.8274,4049858.117,2143,36.671738
392235.1802,4049858.117,2136,40.242268
392244.533,4049858.117,2128,40.242268
392253.8858,4049858.117,2121,37.03886
392263.2386,4049858.117,2115,35.883438
392272.5915,4049858.117,2109,37.431492
392281.9443,4049858.117,2102,39.755558
392291.2971,4049858.117,2095,41.71875
392300.6499,4049858.117,2087,40.576801
392310.0027,4049858.117,2080,33.752766
392319.3555,4049858.117,2074,18.599184
392328.7083,4049858.117,2073,12.821944
392338.0611,4049858.117,2075,22.001444
392347.4139,4049858.117,2078,27.288973
392356.7667,4049858.117,2080,31.47364
392366.1195,4049858.117,2084,36.618595
392375.4723,4049858.117,2089,38.826717
392384.8252,4049858.117,2093,37.507191
392394.178,4049858.117,2098,32.361385
392403.5308,4049858.117,2099,28.785656
392412.8836,4049858.117,2101,26.23757
392422.2364,4049858.117,2101,24.437473
391963.9488,4049848.765,2322,26.519135
391973.3016,4049848.765,2322,37.6492
391982.6544,4049848.765,2319,47.136883
391992.0072,4049848.765,2313,52.860867
392001.36,4049848.765,2305,54.593868
392010.7128,4049848.765,2296,52.920055
392020.0656,4049848.765,2288,48.132603
392029.4184,4049848.765,2281,41.71875
392038.7712,4049848.765,2275,35.210262
392048.1241,4049848.765,2271,30.574003
392057.4769,4049848.765,2267,30.828854
392066.8297,4049848.765,2262,35.431416
392076.1825,4049848.765,2255,37.640881
392085.5353,4049848.765,2249,38.284939
392094.8881,4049848.765,2242,42.630653
392104.2409,4049848.765,2234,45.457237
392113.5937,4049848.765,2225,43.381638
392122.9465,4049848.765,2218,40.157486
392132.2993,4049848.765,2211,38.577778
392141.6521,4049848.765,2205,37.773457
392151.0049,4049848.765,2199,40.521549
392160.3578,4049848.765,2191,43.472881
392169.7106,4049848.765,2182,41.865135
392179.0634,4049848.765,2175,39.689976
392188.4162,4049848.765,2167,39.064167
392197.769,4049848.765,2160,38.47551
392207.1218,4049848.765,2153,36.960899
392216.4746,4049848.765,2147,36.332169
392225.8274,4049848.765,2140,38.47551
392235.1802,4049848.765,2133,41.065292
392244.533,4049848.765,2125,39.402546
392253.8858,4049848.765,2119,37.03886
392263.2386,4049848.765,2112,36.786274
392272.5915,4049848.765,2106,37.431492
392281.9443,4049848.765,2099,40.576801
392291.2971,4049848.765,2091,41.382469
392300.6499,4049848.765,2083,35.383595
392310.0027,4049848.765,2078,21.892191
392319.3555,4049848.765,2076,13.445873
392328.7083,4049848.765,2077,20.825499
392338.0611,4049848.765,2078,28.262363
392347.4139,4049848.765,2082,34.48769
392356.7667,4049848.765,2086,38.942062
392366.1195,4049848.765,2091,41.428173
392375.4723,4049848.765,2096,39.704575
392384.8252,4049848.765,2100,35.229614
392394.178,4049848.765,2102,30.380253
392403.5308,4049848.765,2104,28.039331
392412.8836,4049848.765,2105,26.519135
392422.2364,4049848.765,2105,25.694017
391954.596,4049839.412,2317,24.040588
391963.9488,4049839.412,2317,35.122894
391973.3016,4049839.412,2313,44.615192
391982.6544,4049839.412,2308,49.688896
391992.0072,4049839.412,2302,51.814373
392001.36,4049839.412,2295,51.487099
392010.7128,4049839.412,2288,48.657448
392020.0656,4049839.412,2281,43.404503
392029.4184,4049839.412,2276,37.099236
392038.7712,4049839.412,2272,32.737339
392048.1241,4049839.412,2267,31.216267
